OBJECTID,Date/Time,Temperature,Cloud cover (%),Species,Canopy cover (%),Behavior,Substrate/surface,Notes,x,y,duplicate
3,6/16/2023 7:36,81,75,Live,1,Eating,Grass,,-96.35501907,30.60445039,
4,6/16/2023 7:38,81,75,Elm,2,Resting,Tree,,-96.35497358,30.60436561,yes
5,6/16/2023 8:15,82,5,Othr,4,Eating,Grass,Small tree in grass,-96.35225183,30.60102826,
7,6/16/2023 10:31,87,50,Live,2,Eating,Grass,,-96.35019608,30.6099231,
9,6/16/2023 11:26,89,0,Live,4,Resting,Tree,,-96.34849032,30.61041694,
193,6/16/2023 17:39,97,75,Live,4,Resting,Mulch,5:39,-96.34826814,30.61041639,
194,6/16/2023 17:44,97,75,Live,4,Resting,Tree,"5:44 pm
",-96.34773827,30.61124176,
195,6/16/2023 17:47,97,75,Live,4,Resting,Tree,"5:47 pm
",-96.34699761,30.61084734,
196,6/16/2023 17:52,97,75,Othr,1,Traveling,Concrete,5:52 PM,-96.34690097,30.6106341,
197,6/16/2023 17:53,97,75,Elm,4,Traveling,Tree,"5:53 pm
",-96.34686066,30.61054478,yes
200,6/16/2023 18:01,96,25,Live,2,Eating,Grass,6:01 PM,-96.3449626,30.61253914,
201,6/16/2023 18:03,96,25,Live,2,Traveling,Concrete,6:03,-96.3449413,30.61252771,yes
202,6/16/2023 18:03,96,25,Live,4,Eating,Bare,6:03 PM,-96.34465234,30.61253298,
203,6/16/2023 18:04,96,25,Live,4,Resting,Tree,6:04,-96.34461033,30.61254948,yes
204,6/16/2023 18:06,96,25,Live,2,Resting,Tree,"6:06 pm
",-96.34400149,30.61262634,
199,6/16/2023 18:29,96,50,Live,4,Eating,Mulch,6:29 PM,-96.34608529,30.61011607,
198,6/16/2023 18:30,96,75,Live,4,Traveling,Tree,"6:30 pm
",-96.34629572,30.61031809,
11,6/20/2023 7:29,81,100,Elm,4,Resting,Tree,,-96.35252179,30.61071308,
14,6/20/2023 8:30,82,100,Post,4,Resting,Tree,,-96.34695919,30.61270412,
15,6/20/2023 9:18,84,75,Live,4,Eating,Concrete,,-96.34500028,30.61375718,
16,6/20/2023 9:18,84,75,Live,4,Eating,Bare,,-96.34501044,30.6137654,yes
19,6/21/2023 8:02,81,50,Post,4,Resting,Tree,,-96.35283196,30.60600033,
21,6/21/2023 17:55,95,50,Live,3,Resting,Grass,Followed by eating at same pt ,-96.35514391,30.60489373,
22,6/21/2023 18:19,94,50,Live,4,Eating,Grass,Resting in tree after this,-96.35212876,30.60080695,
23,6/21/2023 18:22,94,50,Live,4,Eating,Grass,Same spot as other squirrel: also resting on tree after this,-96.3521232,30.60078715,
24,6/21/2023 18:25,94,100,Elm,1,Traveling,Bare,"Went up into the elm
",-96.35237458,30.60012284,
25,6/21/2023 18:37,94,100,Live,4,Resting,Tree,,-96.35490458,30.59836321,
26,6/21/2023 18:40,94,100,Live,4,Resting,Tree,,-96.35590663,30.59821967,
28,6/22/2023 7:12,76,100,Live,1,Eating,Bare,,-96.34767828,30.61099655,
29,6/22/2023 7:48,77,50,Live,2,Traveling,Concrete,,-96.34058099,30.61202118,
30,6/22/2023 7:50,77,50,Live,4,Traveling,Tree,,-96.340881,30.61175197,
31,6/22/2023 7:52,77,75,Othr,1,Traveling,Concrete,,-96.34049967,30.61221823,
32,6/22/2023 7:59,77,25,Live,4,Eating,Tree,,-96.34055684,30.61197103,yes
33,6/22/2023 8:18,79,50,Live,1,Traveling,Grass,"Also on mulch and sidewalk; ran up tree
",-96.34103617,30.61455145,
34,6/22/2023 8:30,79,75,Live,3,Eating,Mulch,,-96.33879773,30.61738469,
35,6/22/2023 8:33,79,75,Live,4,Resting,Tree,,-96.33821184,30.61722835,
36,6/22/2023 8:43,80,50,Live,1,Traveling,Other,Building ,-96.33798996,30.61839527,
37,6/22/2023 8:45,80,75,Live,4,Resting,Tree,,-96.33790269,30.61843156,yes
38,6/22/2023 8:55,80,75,Live,4,Traveling,Tree,,-96.33967515,30.61607753,
40,6/22/2023 9:13,80,25,Live,4,Eating,Concrete,,-96.33809042,30.61363238,
41,6/22/2023 9:14,80,25,Live,4,Eating,Mulch,,-96.33808004,30.61364546,yes
42,6/22/2023 9:22,83,75,Live,4,Eating,Mulch,"Ran up tree to finish eating
",-96.33778397,30.61266494,
43,6/22/2023 9:23,83,75,Live,4,Resting,Tree,,-96.33777517,30.61268129,yes
