date,hour,time.of.day,dur.min,min.T.degrees.F,min.T.degrees.C,estimated.min.T.degrees.F,estimated.min.T.degrees.C,max.T.degrees.F,max.T.degrees.C,num.squir,squir.dens.sq.km,length.km,area.sq.km,num.trees,tree.density.sq.km,num.oaks,oak.density.sq.km,buff.distance.m.planar
16,7,early_am,30,81,27.22222222,81,27.22222222,81,27.22222222,0,0,1.09,0.0492,16,325,4,81,26
16,7.5,early_am,30,81,27.22222222,81,27.22222222,81,27.22222222,1,30,0.6,0.0329,158,4799,60,1822,31
16,8,early_am,30,82,27.77777778,82,27.77777778,82,27.77777778,1,26,0.72,0.038,198,5216,41,1080,29
16,8.5,early_am,30,83,28.33333333,83,28.33333333,83,28.33333333,1,21,0.96,0.0475,106,2230,32,673,28
16,9,early_am,30,84,28.88888889,84,28.88888889,85,29.44444444,0,0,1.03,0.0512,61,1192,35,684,28
16,9.5,late_am,30,85,29.44444444,85,29.44444444,86,30,0,0,0.84,0.0446,18,404,12,269,30
16,10,late_am,30,87,30.55555556,87,30.55555556,87,30.55555556,1,28,1.03,0.0359,46,1281,24,669,20
16,11,late_am,20,89,31.66666667,89,31.66666667,89,31.66666667,1,35,0.63,0.0287,200,6968,90,3136,26
16,11.5,late_am,30,90,32.22222222,90,32.22222222,90,32.22222222,0,0,0.85,0.0236,147,6221,124,5248,16
16,17,early_pm,20,98,36.66666667,98,36.66666667,98,36.66666667,0,0,0.8,0.0501,84,1676,23,459,35
16,17.5,early_pm,30,97,36.11111111,97,36.11111111,97,36.11111111,4,115,0.74,0.0348,212,6086,92,2641,27
16,18,early_pm,30,96,35.55555556,96,35.55555556,96,35.55555556,4,75,1.54,0.0532,252,4733,206,3869,20
16,18.5,late_pm,30,96,35.55555556,96,35.55555556,96,35.55555556,1,21,1.47,0.0468,84,1795,56,1197,18
20,7,early_am,30,81,27.22222222,81,27.22222222,81,27.22222222,1,40,0.72,0.0253,30,1186,11,435,20
20,7.5,early_am,30,81,27.22222222,81,27.22222222,82,27.77777778,0,0,1.01,0.0519,122,2350,70,1349,30
20,8,early_am,30,82,27.77777778,82,27.77777778,82,27.77777778,1,18,1.13,0.0561,189,3371,111,1980,30
20,8.5,early_am,30,82,27.77777778,82,27.77777778,82,27.77777778,0,0,0.93,0.0236,108,4577,64,2712,15
20,9,early_am,15,84,28.88888889,84,28.88888889,84,28.88888889,1,62,0.62,0.0161,75,4657,42,2608,15
21,7,early_am,30,80,26.66666667,80,26.66666667,80,26.66666667,0,0,1.03,0.0643,72,1120,36,560,35
21,7.5,early_am,30,80,26.66666667,80,26.66666667,81,27.22222222,0,0,0.79,0.0217,2,92,2,92,16
21,8,early_am,30,81,27.22222222,81,27.22222222,81,27.22222222,1,29,1.15,0.034,67,1973,30,883,
21,8.5,early_am,30,,,82,27.77777778,,,0,0,1.3,0.0569,199,3500,119,2093,
21,9,early_am,30,,,84,28.88888889,,,0,0,1.32,0.047,120,2555,65,1384,
21,9.5,late_am,30,,,86,30,,,0,0,0.95,0.07,73,1042,40,571,
21,10,late_am,15,,,88,31.11111111,,,0,0,0.65,0.0355,35,985,23,647,
21,17.5,early_pm,15,95,35,95,35,95,35,1,25,0.65,0.0405,64,1582,17,420,34
21,18,early_pm,30,94,34.44444444,94,34.44444444,94,34.44444444,3,47,0.69,0.0644,227,3522,67,1040,50
21,18.5,late_pm,30,93,33.88888889,93,33.88888889,94,34.44444444,3,15,1.55,0.2047,563,2750,160,781,73
21,19,late_pm,30,,,92,33.33333333,,,0,0,1.6,0.0697,61,875,41,588,25
22,7,early_am,20,76,24.44444444,76,24.44444444,76,24.44444444,1,29,0.99,0.0341,133,3906,119,3494,20
22,7.5,early_am,30,77,25,77,25,77,25,3,87,1.1,0.0344,55,1600,49,1425,18
22,8,early_am,30,79,26.11111111,79,26.11111111,79,26.11111111,1,25,0.93,0.0406,219,5396,125,3080,25
22,8.5,early_am,30,79,26.11111111,79,26.11111111,80,26.66666667,4,152,1.01,0.0263,131,4978,59,2242,15
22,9,early_am,30,80,26.66666667,80,26.66666667,83,28.33333333,2,71,0.81,0.0283,120,4236,76,2683,20
22,18,early_pm,20,93,33.88888889,93,33.88888889,94,34.44444444,1,10,1.24,0.1033,168,1626,69,668,53
22,18.5,late_pm,30,92,33.33333333,92,33.33333333,93,33.88888889,0,0,0.81,0.0677,131,1934,97,1432,50
22,19,late_pm,30,92,33.33333333,92,33.33333333,92,33.33333333,3,71,1.16,0.0446,177,3969,116,2601,22
22,19.5,late_pm,30,90,32.22222222,90,32.22222222,90,32.22222222,1,8,2.43,0.1264,258,2041,155,1226,30
23,7,early_am,20,81,27.22222222,81,27.22222222,81,27.22222222,3,75,0.57,0.04,29,725,20,500,38
