sp_name,Abundance
Unknown sp.,218
Abelia sp.,1
Acer sp.,1
Acoelorraphe sp.,1
Carya illinoinensis,73
Celtis sp.,93
Celtis occidentalis,10
Cercis sp.,16
Chilopsis linearis,1
Chionanthus retusus,3
Cupressus sempervirens,6
Ehretia anacua,1
Fraxinus pennsylvanica,7
Fraxinus velutina,1
Ilex sp.,195
Ilex cornuta,4
Ilex decidua,20
Ilex opaca,2
Ilex vomitoria,166
Juniperus virginiana,35
Koelreuteria paniculata,5
Lagerstroemia indica,1377
Lagerstroemia virginiana,1
Liquidambar styraciflua,14
Magnoliopsida Magnolia grandiflora L.,2
Melia azedarach,5
Moraceae morus,1
Morella cerifera,4
Nerium oleander,4
Parkinsonia aculeata,1
Photinia sp.,12
Pinus sp.,42
Pinus eldarica,5
Pinus taeda,24
Pistacia chinensis,124
Pittosporum sp.,1
Platanus mexicana,1
Platanus occidentalis,7
Prosopis glandulosa,10
Prunus sp.,15
Prunus calleryana,1
Prunus persica,2
Pyrus calleryana,34
Pyrus calleryiana,358
Pyrus kawakamii,2
Pyrus sp.,394
Quercus sp.,3515
Quercus acutissima,2
Quercus alba,12
Quercus indica,2
Quercus macrocarpa,81
Quercus nigra,40
Quercus parvifolia,11
Quercus polymorpha,40
Quercus robur,3
Quercus shumardii,69
Quercus stellata,433
Quercus virginiana,2821
Rhaphiolepis indica,3
Rhus sp.,4
Salix sp.,9
Sapindus drummondii,2
Scrophulariales sp.,9
Sideroxylon lanuginosum,1
Sophora secundiflora,12
Taxodium ascendens,1
Taxodium distichum,125
Taxus cuspidata,2
Thuja plicata,16
Triadica sebifera,39
Ulmus alata,48
Ulmus americana,2
Ulmus crassifolia,464
Ulmus parvifolia,285
Ulmus virginiana,5
Ulmus sp.,804
Vachellia farnesiana,2
Vitex sp.,19
Zelkova serrata,1
